#beta	T	T2	T2s	T*V
0.001	-1.2383817387576348e-07	-4.539143955316992e-12	1.62351656972545e-10	-0.00012413459329618792
0.0011	-1.242715632422361e-06	2.2087493909921746e-11	5.228759012486894e-12	-0.0012456902002473402
0.0012000000000000001	-5.603377189322508e-07	-1.877370946257798e-11	5.98809904204493e-11	-0.0005616789449588433
0.0013000000000000002	7.69259476501548e-06	-1.7533840308980049e-10	2.9529299178566767e-10	0.0077110077826694195
0.0014000000000000002	-3.888666991761864e-06	-7.71267852117106e-13	1.0272364391364899e-10	-0.003897974916611257
0.0015000000000000002	2.1756016070456106e-06	-2.443993427194749e-11	3.984924858754331e-11	0.0021808091335073776
0.0016000000000000003	-5.964868795203243e-06	3.3479652962222845e-14	1.8561858556047492e-10	-0.00597914632284957
0.0017000000000000003	1.2765245256506573e-08	5.673609166985789e-14	-8.449511240682453e-11	1.2795800185427808e-05
0.0018000000000000004	-6.655103665500798e-06	2.705271076669155e-10	2.238129359394708e-10	-0.00667103334138064
0.0019000000000000004	-7.63272382539081e-06	-4.359371888031982e-10	6.652963778632105e-10	-0.007650993535786022
0.0020000000000000005	8.869525249534824e-06	4.489454736326345e-10	-1.9541345100326848e-10	0.008890755371488535
0.0021000000000000003	6.134360087631549e-06	-4.2200899277284727e-10	3.4471985722221456e-10	0.0061490433101383255
0.0022000000000000006	-7.193645780110894e-06	2.634366634225351e-10	4.521279550049512e-10	-0.007210864511994153
0.002300000000000001	-4.766668221476491e-06	-2.2922074234885938e-10	-1.7537494364340088e-10	-0.004778077732674413
0.0024000000000000007	1.4572847259973618e-05	3.248276538545099e-09	3.371965606426772e-09	0.014607728870413617
0.0025000000000000005	5.969387286525693e-05	1.4590507886518114e-08	1.1456420453155088e-08	0.05983675629646257
0.0026000000000000007	7.02587736729885e-05	-1.2287830565997778e-08	2.773331115822423e-08	0.07042694528211423
0.002700000000000001	1.3194394284097805e-05	-6.557193003683288e-09	2.323863404575391e-08	0.013225976425404795
0.002800000000000001	-6.742036235618574e-05	4.244790532593488e-08	1.4524442213596242e-08	-0.06758173993556184
0.0029000000000000007	-0.0001492885416868954	6.093808820829412e-08	6.949041119043407e-08	-0.14964587918322536
0.003000000000000001	-0.00015908770693093434	-4.930361283064244e-08	1.2153862077750153e-07	-0.15946849973826716
0.003100000000000001	-8.2009395881087e-05	-6.04869282009558e-08	4.2223094916751485e-08	-0.08220569381439485
0.003200000000000001	-7.307942771482912e-07	-3.096149163981281e-10	-9.844496545839144e-08	-0.0007325435084983845
0.003300000000000001	2.8993114173868816e-06	-1.2637121138354101e-09	-1.3582964503133186e-07	0.0029062512177979727
0.003400000000000001	-0.00011735946033064619	1.9125996758209263e-07	1.065002469336821e-07	-0.11764037228310631
0.0035000000000000014	-0.000378635877656008	1.078968897438952e-06	6.855018833844627e-07	-0.3795421816162012
0.003600000000000001	-0.0007432821960763553	2.57317296132261e-06	1.6357579594417492e-06	-0.7450613185462474
0.003700000000000001	-0.0011016581549187238	3.1142737882491456e-06	2.9407384249827523e-06	-1.1042950871470243
0.0038000000000000013	-0.0013049182841097405	9.64006953604634e-07	4.4504644480344e-06	-1.3080417403863578
0.0039000000000000016	-0.0012217282225785578	-3.0625142416973667e-06	6.205562627557336e-06	-1.224652554877064
0.004000000000000002	-0.0007771000547497088	-4.9240202522542894e-06	8.713436386852731e-06	-0.778960123746461
0.004100000000000001	3.7720276848514685e-05	3.817822319968492e-07	1.272923807749816e-05	0.03781056421509765
0.0042000000000000015	0.0011719078638774154	1.5556556913150864e-05	1.8931423093697737e-05	1.1747129460175143
0.004300000000000002	0.0025262278664591434	3.860786443326118e-05	2.7834051510409048e-05	2.5322746529757727
0.004400000000000001	0.003966029894895787	6.246783575154414e-05	3.9694367949656485e-05	3.975522995819662
0.004500000000000001	0.0053378358388321235	7.721230951991247e-05	5.419485703697883e-05	5.3506124985336365
0.004600000000000002	0.0064894695984008795	7.427022125380872e-05	7.015091584016915e-05	6.505002812086264
0.004700000000000002	0.007290419360708946	5.06163969479403e-05	8.559392157195584e-05	7.307869730121858
0.004800000000000002	0.007648046003270299	1.0698122506445008e-05	9.829197654125854e-05	7.666352388875946
0.004900000000000002	0.007516670272380696	-3.4887443513266985e-05	0.00010637268085730228	7.534662196647086
0.005000000000000002	0.006898986759048178	-7.318695811169179e-05	0.00010875514172185026	6.91550019422435
0.005100000000000002	0.005841206248266552	-9.333454512964815e-05	0.00010532571892145427	5.855187776873619
0.005200000000000002	0.004424210582072802	-8.989882435056233e-05	9.688983925902796e-05	4.434800385648954
0.005300000000000002	0.002752946875468513	-6.418162827789834e-05	8.50316811505707e-05	2.7595363372777957
0.005400000000000002	0.0009457309309356022	-2.3420128979475916e-05	7.192297584548515e-05	0.947994635297931
0.005500000000000002	-0.0008755221505180048	2.152972839683059e-05	6.009299754486319e-05	-0.8776178029352124
0.005600000000000002	-0.0025936405113803525	5.918844636067643e-05	5.211888388909673e-05	-2.599848657003882
0.005700000000000002	-0.004102935076765621	8.030794674040019e-05	5.028881464081484e-05	-4.112755874339026
0.005800000000000002	-0.005314324434068264	7.995697968077326e-05	5.627571945428681e-05	-5.327044816801575
0.0059000000000000025	-0.006158904664500448	5.8475282325148264e-05	7.09026350055423e-05	-6.173646636979242
0.006000000000000003	-0.006590057219780139	2.1217411467510946e-05	9.397369287911283e-05	-6.6058312002945065
0.006100000000000002	-0.006584215059129735	-2.2742763015667444e-05	0.00012434294513373082	-6.5999750558310355
0.006200000000000002	-0.0061404380173533885	-6.259512917991269e-05	0.00015998306505996776	-6.15513578801078
0.006300000000000003	-0.005278980022593223	-8.802296564931566e-05	0.00019826138154476305	-5.291615804838358
0.006400000000000002	-0.004039056223506785	-9.124365023896951e-05	0.00023615327140359064	-4.048724120467497
0.006500000000000002	-0.0024760312856413275	-6.850938551270792e-05	0.0002706006371459905	-2.4819579214731746
0.0066000000000000026	-0.000658248397861252	-2.0851099580641768e-05	0.0002987308982272418	-0.6598239831794359
0.006700000000000003	0.0013362973487273978	4.6000933159146844e-05	0.0003181737724745845	1.3394959140261875
0.006800000000000003	0.0034232644221330907	0.0001224494502087725	0.0003272083646179037	3.431458358010943
0.0069000000000000025	0.005515105977236455	0.00019644264839678813	0.00032501656697909336	5.528306951267225
0.007000000000000003	0.007523939570948872	0.0002552348724434549	0.00031182813406557515	7.541948895029884
0.007100000000000003	0.00936407341350915	0.00028724794101874803	0.0002888560864749361	9.386487287415502
