#beta	T	T2	T2s	T*V
0.9445000000000005	0.012293316224175775	4.620780268811194e-05	0.0029051755440326807	12.292231263578401
0.9446000000000004	0.012294907259470805	4.617091459030295e-05	0.0029032863176369707	12.293822158454802
0.9447000000000004	0.012296496650338454	4.613403186864788e-05	0.0029016141255853167	12.295411409048953
0.9448000000000004	0.012298084397906084	4.6097154535727025e-05	0.002900028201563693	12.296999016488117
0.9449000000000004	0.012299670503300272	4.6060282616767685e-05	0.0028983027726420495	12.29858498189877
0.9450000000000004	0.01230125496764704	4.602341612708759e-05	0.0028965840685004256	12.300169306406834
0.9451000000000004	0.012302837792071409	4.59865550844141e-05	0.0028949170223112487	12.301751991137236
0.9452000000000005	0.012304418977697837	4.5949699509803776e-05	0.00289331353695948	12.30333303721433
0.9453000000000005	0.01230599852564991	4.5912849419762436e-05	0.0028914174960287327	12.304912445761602
0.9454000000000005	0.012307576437050547	4.587600483445498e-05	0.0028897201904600402	12.306490217901876
0.9455000000000005	0.012309152713021859	4.5839165770710106e-05	0.00288802403581995	12.308066354757159
0.9456000000000004	0.012310727354685237	4.580233224756162e-05	0.002886388516336972	12.309640857448747
0.9457000000000004	0.012312300363161274	4.576550428144925e-05	0.0028847506873091707	12.311213727097133
0.9458000000000004	0.012313871739569824	4.57286818956559e-05	0.002883064933867034	12.312784964822072
0.9459000000000004	0.012315441485030155	4.5691865104345955e-05	0.002881318067471821	12.314354571742733
0.9460000000000004	0.012317009600660489	4.5655053925813836e-05	0.0028795619259458687	12.315922548977241
0.9461000000000004	0.01231857608757855	4.561824837847287e-05	0.0028779268058022564	12.317488897643218
0.9462000000000005	0.012320140946901124	4.558144848441765e-05	0.002876382570487829	12.319053618857353
0.9463000000000005	0.012321704179744564	4.554465425723348e-05	0.0028744817667907784	12.320616713735902
0.9464000000000005	0.012323265787223986	4.550786571264701e-05	0.002872893191552019	12.32217818339388
0.9465000000000005	0.012324825770454174	4.547108287714667e-05	0.002871260013737963	12.323738028945975
0.9466000000000004	0.012326384130549038	4.543430576265298e-05	0.0028695407781460605	12.325296251505996
0.9467000000000004	0.012327940868621696	4.5397534386882875e-05	0.002867777876702565	12.326852852186967
0.9468000000000004	0.01232949598578452	4.536076877056908e-05	0.0028661867734264762	12.328407832101158
0.9469000000000004	0.01233104948314926	4.532400893218278e-05	0.0028644855663044005	12.329961192360223
0.9470000000000004	0.012332601361826791	4.528725488375491e-05	0.002862885225118846	12.331512934074937
0.9471000000000004	0.012334151622927203	4.52505066494647e-05	0.002861004198740982	12.333063058355293
0.9472000000000005	0.012335700267560085	4.521376424658646e-05	0.002859439218669759	12.334611566310782
0.9473000000000005	0.01233724729683404	4.517702768815041e-05	0.0028577772215414993	12.336158459049912
