#Parameters = {FPC_IR1=0.51181102362205; FPC_IR2=0.82086614173228; FPC_IR3=0.67905970079231; FPC_L1=0.24803149606299; FPC_L2=0.5511811023622; FPC_L3=0.23622047244094; FPC_L4=0.82677165354331; FPC_L5=0.78740157480315; FPC_OR1=2.1259842519685; FPC_OR2=1.8897637795276; FPC_OR3=1.5625; FPC_dz=0.17; FPC_sbel=1.1163333333333; FPC_z0=11.328496062992; FPC_z1=28.595; FPC_z2=30.457204724409; FPC_zext=11.811023622047; PU_ID=0.3804347826087; PU_L=5; PU_OD=0.875; PU_dz=1; Window_d=0.24803149606299}
#"Z / mm"	"e_Z (Z)"
#------------------
-237.10000000000	2135.1542968750
-237.00000000000	2156.0058593750
-236.90000000000	2176.9909667969
-236.80000000000	2198.1064453125
-236.70000000000	2219.3581542969
-236.60000000000	2240.7338867188
-236.50000000000	2262.4243164063
-236.40000000000	2286.7243652344
-236.30000000000	2311.3654785156
-236.20000000000	2336.2531738281
-236.10000000000	2361.3784179688
-236.00000000000	2386.7500000000
-235.90000000000	2412.3635253906
-235.80000000000	2438.2160644531
-235.70000000000	2464.3142089844
-235.60000000000	2490.6501464844
-235.50000000000	2517.2324218750
-235.40000000000	2544.0571289063
-235.30000000000	2571.1203613281
-235.20000000000	2598.4296875000
-235.10000000000	2625.9763183594
-235.00000000000	2653.7697753906
-234.90000000000	2681.8056640625
-234.80000000000	2710.0786132813
-234.70000000000	2738.5993652344
-234.60000000000	2767.3574218750
-234.50000000000	2796.3618164063
-234.40000000000	2825.6083984375
-234.30000000000	2855.0927734375
-234.20000000000	2884.8237304688
-234.10000000000	2915.6484375000
-234.00000000000	2947.7961425781
-233.90000000000	2981.3884277344
-233.80000000000	3015.3022460938
-233.70000000000	3049.5488281250
-233.60000000000	3084.1174316406
-233.50000000000	3119.0187988281
-233.40000000000	3154.2470703125
-233.30000000000	3189.7973632813
-233.20000000000	3225.6801757813
-233.10000000000	3261.8847656250
-233.00000000000	3298.4223632813
-232.90000000000	3335.2866210938
-232.80000000000	3372.4731445313
-232.70000000000	3409.9921875000
-232.60000000000	3447.8330078125
-232.50000000000	3486.0065917969
-232.40000000000	3524.5073242188
-232.30000000000	3563.3300781250
-232.20000000000	3602.4846191406
-232.10000000000	3641.9614257813
-232.00000000000	3682.3381347656
-231.90000000000	3724.9418945313
-231.80000000000	3768.9548339844
-231.70000000000	3813.4436035156
-231.60000000000	3858.3947753906
-231.50000000000	3903.8229980469
-231.40000000000	3949.7197265625
-231.30000000000	3996.0786132813
-231.20000000000	4042.9147949219
-231.10000000000	4090.2126464844
-231.00000000000	4137.9868164063
-230.90000000000	4186.2314453125
-230.80000000000	4234.9365234375
-230.70000000000	4284.1201171875
-230.60000000000	4333.7641601563
-230.50000000000	4383.8857421875
-230.40000000000	4434.2978515625
-230.30000000000	4485.1513671875
-230.20000000000	4536.4877929688
-230.10000000000	4588.2929687500
-230.00000000000	4640.8979492188
-229.90000000000	4696.0634765625
-229.80000000000	4751.9252929688
-229.70000000000	4808.3842773438
-229.60000000000	4865.4228515625
-229.50000000000	4923.0581054688
-229.40000000000	4981.2832031250
-229.30000000000	5040.0874023438
-229.20000000000	5099.4897460938
-229.10000000000	5159.4707031250
-229.00000000000	5220.0498046875
-228.90000000000	5281.2172851563
-228.80000000000	5342.9638671875
-228.70000000000	5405.3085937500
-228.60000000000	5468.2324218750
-228.50000000000	5531.7539062500
-228.40000000000	5595.8642578125
-228.30000000000	5660.5537109375
-228.20000000000	5725.8085937500
-228.10000000000	5791.5961914063
-228.00000000000	5858.0332031250
-227.90000000000	5929.5649414063
-227.80000000000	6001.7597656250
-227.70000000000	6074.5771484375
-227.60000000000	6148.0673828125
-227.50000000000	6222.2587890625
-227.40000000000	6297.1372070313
-227.30000000000	6372.6923828125
-227.20000000000	6448.9472656250
-227.10000000000	6525.8769531250
-227.00000000000	6603.5063476563
-226.90000000000	6681.8237304688
-226.80000000000	6760.8164062500
-226.70000000000	6840.5097656250
-226.60000000000	6920.8774414063
-226.50000000000	7001.9462890625
-226.40000000000	7083.7026367188
-226.30000000000	7166.1333007813
-226.20000000000	7249.2661132813
-226.10000000000	7333.0712890625
-226.00000000000	7417.7456054688
-225.90000000000	7506.9086914063
-225.80000000000	7598.3173828125
-225.70000000000	7690.7524414063
-225.60000000000	7784.1845703125
-225.50000000000	7878.6416015625
-225.40000000000	7974.1113281250
-225.30000000000	8070.5786132813
-225.20000000000	8168.0708007813
-225.10000000000	8266.5605468750
-225.00000000000	8366.0761718750
-224.90000000000	8466.6044921875
-224.80000000000	8568.1279296875
-224.70000000000	8670.6796875000
-224.60000000000	8774.2275390625
-224.50000000000	8878.8007812500
-224.40000000000	8984.3876953125
-224.30000000000	9090.9687500000
-224.20000000000	9198.5429687500
-224.10000000000	9306.9062500000
-224.00000000000	9416.1835937500
-223.90000000000	9530.3681640625
-223.80000000000	9646.0361328125
-223.70000000000	9762.9824218750
-223.60000000000	9881.0927734375
-223.50000000000	10000.409179688
-223.40000000000	10120.989257813
-223.30000000000	10242.812500000
-223.20000000000	10365.915039063
-223.10000000000	10490.259765625
-223.00000000000	10615.886718750
-222.90000000000	10742.774414063
-222.80000000000	10870.905273438
-222.70000000000	11000.316406250
-222.60000000000	11130.969726563
-222.50000000000	11262.906250000
-222.40000000000	11396.103515625
-222.30000000000	11530.540039063
-222.20000000000	11666.261718750
-222.10000000000	11803.221679688
-222.00000000000	11942.808593750
-221.90000000000	12090.622070313
-221.80000000000	12239.670898438
-221.70000000000	12390.017578125
-221.60000000000	12541.614257813
-221.50000000000	12694.512695313
-221.40000000000	12848.685546875
-221.30000000000	13004.109375000
-221.20000000000	13160.833984375
-221.10000000000	13318.811523438
-221.00000000000	13478.086914063
-220.90000000000	13638.548828125
-220.80000000000	13800.027343750
-220.70000000000	13962.806640625
-220.60000000000	14126.832031250
-220.50000000000	14292.156250000
-220.40000000000	14458.755859375
-220.30000000000	14626.601562500
-220.20000000000	14795.750000000
-220.10000000000	14966.140625000
-220.00000000000	15138.750976563
-219.90000000000	15326.393554688
-219.80000000000	15517.100585938
-219.70000000000	15709.704101563
-219.60000000000	15904.284179688
-219.50000000000	16099.800781250
-219.40000000000	16297.353515625
-219.30000000000	16496.750000000
-219.20000000000	16698.056640625
-219.10000000000	16901.208984375
-219.00000000000	17106.265625000
-218.90000000000	17313.199218750
-218.80000000000	17521.978515625
-218.70000000000	17732.664062500
-218.60000000000	17945.195312500
-218.50000000000	18159.632812500
-218.40000000000	18375.945312500
-218.30000000000	18594.109375000
-218.20000000000	18814.175781250
-218.10000000000	19036.083984375
-218.00000000000	19260.490234375
-217.90000000000	19492.552734375
-217.80000000000	19733.486328125
-217.70000000000	19977.050781250
-217.60000000000	20223.164062500
-217.50000000000	20471.908203125
-217.40000000000	20723.236328125
-217.30000000000	20977.111328125
-217.20000000000	21233.617187500
