#Parameters = {R=7.6; penetration=150}
#"Z / mm"	"e_Z (Z)"
#------------------
-153.00000000000	-5321.5463867188
-152.90000000000	-5399.4589843750
-152.80000000000	-5478.2412109375
-152.70000000000	-5557.9155273438
-152.60000000000	-5638.4589843750
-152.50000000000	-5719.8940429688
-152.40000000000	-5802.2114257813
-152.30000000000	-5885.3940429688
-152.20000000000	-5969.4731445313
-152.10000000000	-6054.4169921875
-152.00000000000	-6142.9501953125
-151.90000000000	-6233.9038085938
-151.80000000000	-6325.9887695313
-151.70000000000	-6419.5214843750
-151.60000000000	-6514.4746093750
-151.50000000000	-6610.8779296875
-151.40000000000	-6708.7148437500
-151.30000000000	-6807.9731445313
-151.20000000000	-6908.6806640625
-151.10000000000	-7010.8061523438
-151.00000000000	-7114.3833007813
-150.90000000000	-7219.3945312500
-150.80000000000	-7325.8247070313
-150.70000000000	-7433.7060546875
-150.60000000000	-7543.0058593750
-150.50000000000	-7653.7558593750
-150.40000000000	-7765.9414062500
-150.30000000000	-7879.5439453125
-150.20000000000	-7994.5986328125
-150.10000000000	-8111.0712890625
-150.00000000000	-8228.9960937500
-149.90000000000	-8347.5029296875
-149.80000000000	-8469.3222656250
-149.70000000000	-8592.9990234375
-149.60000000000	-8718.4960937500
-149.50000000000	-8845.8554687500
-149.40000000000	-8975.0498046875
-149.30000000000	-9106.0673828125
-149.20000000000	-9238.9443359375
-149.10000000000	-9373.6396484375
-149.00000000000	-9510.1962890625
-148.90000000000	-9648.5917968750
-148.80000000000	-9788.8066406250
-148.70000000000	-9930.8837890625
-148.60000000000	-10074.776367188
-148.50000000000	-10220.535156250
-148.40000000000	-10368.128906250
-148.30000000000	-10517.541992188
-148.20000000000	-10668.816406250
-148.10000000000	-10821.908203125
-148.00000000000	-10976.826171875
-147.90000000000	-11133.955078125
-147.80000000000	-11293.477539063
-147.70000000000	-11455.438476563
-147.60000000000	-11619.789062500
-147.50000000000	-11786.579101563
-147.40000000000	-11955.785156250
-147.30000000000	-12127.380859375
-147.20000000000	-12301.418945313
-147.10000000000	-12477.844726563
-147.00000000000	-12656.713867188
-146.90000000000	-12837.999023438
-146.80000000000	-13021.669921875
-146.70000000000	-13207.787109375
-146.60000000000	-13396.287109375
-146.50000000000	-13587.235351563
-146.40000000000	-13780.985351563
-146.30000000000	-13978.079101563
-146.20000000000	-14177.766601563
-146.10000000000	-14379.991210938
-146.00000000000	-14584.308593750
-145.90000000000	-14790.252929688
-145.80000000000	-14999.267578125
-145.70000000000	-15211.421875000
-145.60000000000	-15426.650390625
-145.50000000000	-15645.013671875
-145.40000000000	-15866.485351563
-145.30000000000	-16091.029296875
-145.20000000000	-16318.709960938
-145.10000000000	-16549.466796875
-145.00000000000	-16783.359375000
-144.90000000000	-17020.359375000
-144.80000000000	-17260.431640625
-144.70000000000	-17503.644531250
-144.60000000000	-17749.921875000
-144.50000000000	-17999.347656250
-144.40000000000	-18251.878906250
-144.30000000000	-18507.476562500
-144.20000000000	-18766.216796875
-144.10000000000	-19028.664062500
-144.00000000000	-19297.031250000
-143.90000000000	-19566.386718750
-143.80000000000	-19838.679687500
-143.70000000000	-20115.111328125
-143.60000000000	-20395.587890625
-143.50000000000	-20680.210937500
-143.40000000000	-20968.923828125
-143.30000000000	-21261.689453125
-143.20000000000	-21558.597656250
-143.10000000000	-21859.552734375
-143.00000000000	-22164.648437500
-142.90000000000	-22473.837890625
-142.80000000000	-22787.074218750
-142.70000000000	-23104.384765625
-142.60000000000	-23425.564453125
-142.50000000000	-23750.808593750
-142.40000000000	-24080.042968750
-142.30000000000	-24413.230468750
-142.20000000000	-24750.464843750
-142.10000000000	-25091.652343750
-142.00000000000	-25438.869140625
-141.90000000000	-25790.175781250
-141.80000000000	-26144.968750000
-141.70000000000	-26505.068359375
-141.60000000000	-26870.369140625
-141.50000000000	-27240.976562500
-141.40000000000	-27616.843750000
-141.30000000000	-27997.908203125
-141.20000000000	-28384.285156250
-141.10000000000	-28775.857421875
-141.00000000000	-29172.746093750
-140.90000000000	-29574.888671875
-140.80000000000	-29982.226562500
-140.70000000000	-30394.880859375
-140.60000000000	-30812.726562500
-140.50000000000	-31235.888671875
-140.40000000000	-31664.308593750
-140.30000000000	-32097.917968750
-140.20000000000	-32536.847656250
-140.10000000000	-32980.968750000
-140.00000000000	-33433.570312500
-139.90000000000	-33891.687500000
-139.80000000000	-34353.273437500
-139.70000000000	-34821.746093750
-139.60000000000	-35297.000000000
-139.50000000000	-35779.140625000
-139.40000000000	-36268.132812500
-139.30000000000	-36763.878906250
-139.20000000000	-37266.531250000
-139.10000000000	-37775.937500000
-139.00000000000	-38292.265625000
-138.90000000000	-38815.425781250
-138.80000000000	-39345.339843750
-138.70000000000	-39882.167968750
-138.60000000000	-40425.742187500
-138.50000000000	-40976.246093750
-138.40000000000	-41533.570312500
-138.30000000000	-42097.648437500
-138.20000000000	-42668.648437500
-138.10000000000	-43246.394531250
-138.00000000000	-43831.945312500
-137.90000000000	-44425.214843750
-137.80000000000	-45026.296875000
-137.70000000000	-45636.296875000
-137.60000000000	-46255.003906250
-137.50000000000	-46882.625000000
-137.40000000000	-47519.046875000
-137.30000000000	-48164.199218750
-137.20000000000	-48818.242187500
-137.10000000000	-49481.007812500
-137.00000000000	-50152.687500000
-136.90000000000	-50833.167968750
-136.80000000000	-51522.359375000
-136.70000000000	-52220.468750000
-136.60000000000	-52927.277343750
-136.50000000000	-53643.007812500
-136.40000000000	-54367.554687500
-136.30000000000	-55100.789062500
-136.20000000000	-55842.953125000
-136.10000000000	-56593.812500000
-136.00000000000	-57359.453125000
-135.90000000000	-58135.128906250
-135.80000000000	-58916.113281250
-135.70000000000	-59708.734375000
-135.60000000000	-60512.746093750
-135.50000000000	-61328.410156250
-135.40000000000	-62155.585937500
-135.30000000000	-62994.148437500
-135.20000000000	-63844.371093750
-135.10000000000	-64705.968750000
-135.00000000000	-65579.218750000
-134.90000000000	-66464.000000000
-134.80000000000	-67360.140625000
-134.70000000000	-68267.960937500
-134.60000000000	-69187.148437500
-134.50000000000	-70117.992187500
-134.40000000000	-71060.351562500
-134.30000000000	-72014.093750000
-134.20000000000	-72979.500000000
-134.10000000000	-73956.265625000
-134.00000000000	-74951.484375000
-133.90000000000	-75958.632812500
-133.80000000000	-76973.226562500
-133.70000000000	-78003.031250000
-133.60000000000	-79047.734375000
-133.50000000000	-80107.640625000
-133.40000000000	-81182.593750000
-133.30000000000	-82272.429687500
-133.20000000000	-83377.460937500
-133.10000000000	-84497.398437500
-133.00000000000	-85632.546875000
-132.90000000000	-86782.750000000
-132.80000000000	-87947.828125000
-132.70000000000	-89127.898437500
-132.60000000000	-90322.281250000
-132.50000000000	-91531.656250000
-132.40000000000	-92755.789062500
-132.30000000000	-93994.531250000
-132.20000000000	-95248.218750000
-132.10000000000	-96516.500000000
-132.00000000000	-97805.171875000
-131.90000000000	-99110.304687500
-131.80000000000	-100428.46093750
-131.70000000000	-101766.05468750
-131.60000000000	-103122.63281250
-131.50000000000	-104498.62500000
-131.40000000000	-105893.80468750
-131.30000000000	-107307.99218750
-131.20000000000	-108741.59375000
-131.10000000000	-110194.20312500
-131.00000000000	-111666.22656250
-130.90000000000	-113157.45312500
-130.80000000000	-114667.64843750
-130.70000000000	-116197.28125000
-130.60000000000	-117745.91406250
-130.50000000000	-119313.96875000
-130.40000000000	-120901.23437500
-130.30000000000	-122507.44531250
-130.20000000000	-124133.10937500
-130.10000000000	-125777.76562500
-130.00000000000	-127450.21875000
-129.90000000000	-129142.68750000
-129.80000000000	-130850.73437500
-129.70000000000	-132583.84375000
-129.60000000000	-134341.50000000
-129.50000000000	-136124.25000000
-129.40000000000	-137931.73437500
-129.30000000000	-139763.75000000
-129.20000000000	-141620.93750000
-129.10000000000	-143502.71875000
-129.00000000000	-145409.25000000
-128.90000000000	-147340.18750000
-128.80000000000	-149295.15625000
-128.70000000000	-151274.81250000
-128.60000000000	-153278.45312500
-128.50000000000	-155306.76562500
-128.40000000000	-157359.48437500
-128.30000000000	-159436.23437500
-128.20000000000	-161537.64062500
-128.10000000000	-163663.09375000
-128.00000000000	-165827.79687500
-127.90000000000	-168021.03125000
-127.80000000000	-170231.17187500
-127.70000000000	-172472.57812500
-127.60000000000	-174745.04687500
-127.50000000000	-177048.64062500
-127.40000000000	-179383.45312500
-127.30000000000	-181749.40625000
-127.20000000000	-184146.75000000
-127.10000000000	-186575.03125000
-127.00000000000	-189034.51562500
-126.90000000000	-191525.18750000
-126.80000000000	-194047.03125000
-126.70000000000	-196600.20312500
-126.60000000000	-199184.40625000
-126.50000000000	-201799.78125000
-126.40000000000	-204446.28125000
-126.30000000000	-207124.00000000
-126.20000000000	-209833.07812500
-126.10000000000	-212573.14062500
-126.00000000000	-215372.21875000
-125.90000000000	-218206.32812500
-125.80000000000	-221050.68750000
-125.70000000000	-223934.53125000
-125.60000000000	-226857.39062500
-125.50000000000	-229819.45312500
-125.40000000000	-232820.71875000
-125.30000000000	-235861.18750000
-125.20000000000	-238941.10937500
-125.10000000000	-242059.96875000
-125.00000000000	-245218.12500000
-124.90000000000	-248415.42187500
-124.80000000000	-251652.01562500
-124.70000000000	-254927.98437500
-124.60000000000	-258242.98437500
-124.50000000000	-261597.14062500
-124.40000000000	-264990.50000000
-124.30000000000	-268423.12500000
-124.20000000000	-271895.18750000
-124.10000000000	-275409.25000000
-124.00000000000	-278995.53125000
-123.90000000000	-282625.40625000
-123.80000000000	-286270.78125000
-123.70000000000	-289961.75000000
-123.60000000000	-293701.18750000
-123.50000000000	-297489.28125000
-123.40000000000	-301326.00000000
-123.30000000000	-305211.43750000
-123.20000000000	-309145.90625000
-123.10000000000	-313128.68750000
-123.00000000000	-317160.15625000
-122.90000000000	-321240.34375000
-122.80000000000	-325369.18750000
