-600.00000000000	-1153.4595947266
-599.90000000000	-1153.4801025391
-599.80000000000	-1153.5393066406
-599.70000000000	-1153.6369628906
-599.60000000000	-1153.7736816406
-599.50000000000	-1153.9492187500
-599.40000000000	-1154.1638183594
-599.30000000000	-1154.4172363281
-599.20000000000	-1154.7098388672
-599.10000000000	-1155.0411376953
-599.00000000000	-1155.4113769531
-598.90000000000	-1155.8206787109
-598.80000000000	-1156.2690429688
-598.70000000000	-1156.7561035156
-598.60000000000	-1157.2824707031
-598.50000000000	-1157.8472900391
-598.40000000000	-1158.4511718750
-598.30000000000	-1159.0941162109
-598.20000000000	-1159.7756347656
-598.10000000000	-1160.4981689453
-598.00000000000	-1161.2600097656
-597.90000000000	-1162.0618896484
-597.80000000000	-1162.9044189453
-597.70000000000	-1163.7863769531
-597.60000000000	-1164.7091064453
-597.50000000000	-1165.6712646484
-597.40000000000	-1166.6732177734
-597.30000000000	-1167.7158203125
-597.20000000000	-1168.7982177734
-597.10000000000	-1169.9210205078
-597.00000000000	-1171.0834960938
-596.90000000000	-1172.2856445313
-596.80000000000	-1173.5290527344
-596.70000000000	-1174.8112792969
-596.60000000000	-1176.1353759766
-596.50000000000	-1177.4981689453
-596.40000000000	-1178.9001464844
-596.30000000000	-1180.3444824219
-596.20000000000	-1181.8303222656
-596.10000000000	-1183.3594970703
-596.00000000000	-1184.9299316406
-595.90000000000	-1186.5427246094
-595.80000000000	-1188.1988525391
-595.70000000000	-1189.8956298828
-595.60000000000	-1191.6361083984
-595.50000000000	-1193.4147949219
-595.40000000000	-1195.2362060547
-595.30000000000	-1197.1022949219
-595.20000000000	-1199.0106201172
-595.10000000000	-1200.9633789063
-595.00000000000	-1202.9584960938
-594.90000000000	-1204.9964599609
-594.80000000000	-1207.0791015625
-594.70000000000	-1209.2039794922
-594.60000000000	-1211.3731689453
-594.50000000000	-1213.5845947266
-594.40000000000	-1215.8391113281
-594.30000000000	-1218.1383056641
-594.20000000000	-1220.4794921875
-594.10000000000	-1222.8652343750
-594.00000000000	-1225.3020019531
-593.90000000000	-1227.7774658203
-593.80000000000	-1230.2974853516
-593.70000000000	-1232.8638916016
-593.60000000000	-1235.4799804688
-593.50000000000	-1238.1423339844
-593.40000000000	-1240.8520507813
-593.30000000000	-1243.6114501953
-593.20000000000	-1246.4168701172
-593.10000000000	-1249.2713623047
-593.00000000000	-1252.1705322266
-592.90000000000	-1255.1196289063
-592.80000000000	-1258.1148681641
-592.70000000000	-1261.1574707031
-592.60000000000	-1264.2493896484
-592.50000000000	-1267.3865966797
-592.40000000000	-1270.5710449219
-592.30000000000	-1273.8049316406
-592.20000000000	-1277.0839843750
-592.10000000000	-1280.4124755859
-592.00000000000	-1283.7861328125
-591.90000000000	-1287.2280273438
-591.80000000000	-1290.7092285156
-591.70000000000	-1294.2423095703
-591.60000000000	-1297.8315429688
-591.50000000000	-1301.4721679688
-591.40000000000	-1305.1667480469
-591.30000000000	-1308.9169921875
-591.20000000000	-1312.7191162109
-591.10000000000	-1316.5767822266
-591.00000000000	-1320.4836425781
-590.90000000000	-1324.4436035156
-590.80000000000	-1328.4594726563
-590.70000000000	-1332.5266113281
-590.60000000000	-1336.6492919922
-590.50000000000	-1340.8232421875
-590.40000000000	-1345.0500488281
-590.30000000000	-1349.3332519531
-590.20000000000	-1353.6669921875
-590.10000000000	-1358.0570068359
-590.00000000000	-1362.4976806641
-589.90000000000	-1367.0236816406
-589.80000000000	-1371.6175537109
-589.70000000000	-1376.2565917969
-589.60000000000	-1380.9321289063
-589.50000000000	-1385.6684570313
-589.40000000000	-1390.4687500000
-589.30000000000	-1395.3354492188
-589.20000000000	-1400.2629394531
-589.10000000000	-1405.2573242188
-589.00000000000	-1410.3125000000
-588.90000000000	-1415.4310302734
-588.80000000000	-1420.6164550781
-588.70000000000	-1425.8623046875
-588.60000000000	-1431.1750488281
-588.50000000000	-1436.5485839844
-588.40000000000	-1441.9858398438
-588.30000000000	-1447.4898681641
-588.20000000000	-1453.0545654297
-588.10000000000	-1458.6860351563
-588.00000000000	-1464.3776855469
-587.90000000000	-1470.1333007813
-587.80000000000	-1475.9560546875
-587.70000000000	-1481.8388671875
-587.60000000000	-1487.7893066406
-587.50000000000	-1493.7998046875
-587.40000000000	-1499.8890380859
-587.30000000000	-1506.0780029297
-587.20000000000	-1512.3374023438
-587.10000000000	-1518.6754150391
-587.00000000000	-1525.0834960938
-586.90000000000	-1531.5662841797
-586.80000000000	-1538.1298828125
-586.70000000000	-1544.7653808594
-586.60000000000	-1551.4497070313
-586.50000000000	-1558.2010498047
-586.40000000000	-1565.0347900391
-586.30000000000	-1571.9548339844
-586.20000000000	-1578.9526367188
-586.10000000000	-1586.0378417969
-586.00000000000	-1593.2011718750
-585.90000000000	-1600.4440917969
-585.80000000000	-1607.7709960938
-585.70000000000	-1615.1728515625
-585.60000000000	-1622.6590576172
-585.50000000000	-1630.2202148438
-585.40000000000	-1637.8612060547
-585.30000000000	-1645.5860595703
-585.20000000000	-1653.4118652344
-585.10000000000	-1661.3334960938
-585.00000000000	-1669.3317871094
-584.90000000000	-1677.4019775391
-584.80000000000	-1685.5583496094
-584.70000000000	-1693.7895507813
-584.60000000000	-1702.1069335938
-584.50000000000	-1710.5100097656
-584.40000000000	-1719.0151367188
-584.30000000000	-1727.6268310547
-584.20000000000	-1736.3349609375
-584.10000000000	-1745.1503906250
-584.00000000000	-1754.0710449219
-583.90000000000	-1763.0944824219
-583.80000000000	-1772.2211914063
-583.70000000000	-1781.4398193359
