#Parameters = {C_OD=21; C_ext=900; R=7.6; penetration=55}
#"Z / mm"	"e_Z (Z)"
#------------------
-146.80000000000	-7917.8603515625
-146.70000000000	-8007.1191406250
-146.60000000000	-8097.4487304688
-146.50000000000	-8188.8769531250
-146.40000000000	-8281.3896484375
-146.30000000000	-8374.9736328125
-146.20000000000	-8469.6562500000
-146.10000000000	-8565.4101562500
-146.00000000000	-8662.2617187500
-145.90000000000	-8757.9316406250
-145.80000000000	-8854.8828125000
-145.70000000000	-8953.1445312500
-145.60000000000	-9052.6855468750
-145.50000000000	-9153.5390625000
-145.40000000000	-9255.6875000000
-145.30000000000	-9359.1152343750
-145.20000000000	-9463.8564453125
-145.10000000000	-9569.8750000000
-145.00000000000	-9677.2080078125
-144.90000000000	-9785.8369140625
-144.80000000000	-9895.7421875000
-144.70000000000	-10006.960937500
-144.60000000000	-10119.460937500
-144.50000000000	-10233.270507813
-144.40000000000	-10348.376953125
-144.30000000000	-10464.761718750
-144.20000000000	-10582.459960938
-144.10000000000	-10701.434570313
-144.00000000000	-10821.725585938
-143.90000000000	-10944.938476563
-143.80000000000	-11069.636718750
-143.70000000000	-11195.859375000
-143.60000000000	-11323.571289063
-143.50000000000	-11452.805664063
-143.40000000000	-11583.547851563
-143.30000000000	-11715.775390625
-143.20000000000	-11849.529296875
-143.10000000000	-11984.767578125
-143.00000000000	-12121.532226563
-142.90000000000	-12259.803710938
-142.80000000000	-12399.558593750
-142.70000000000	-12540.842773438
-142.60000000000	-12683.609375000
-142.50000000000	-12827.903320313
-142.40000000000	-12973.705078125
-142.30000000000	-13120.989257813
-142.20000000000	-13269.801757813
-142.10000000000	-13420.096679688
-142.00000000000	-13571.921875000
-141.90000000000	-13727.750976563
-141.80000000000	-13885.108398438
-141.70000000000	-14044.039062500
-141.60000000000	-14204.497070313
-141.50000000000	-14366.531250000
-141.40000000000	-14530.116210938
-141.30000000000	-14695.226562500
-141.20000000000	-14861.914062500
-141.10000000000	-15030.125976563
-141.00000000000	-15199.914062500
-140.90000000000	-15371.252929688
-140.80000000000	-15544.117187500
-140.70000000000	-15718.558593750
-140.60000000000	-15894.525390625
-140.50000000000	-16072.068359375
-140.40000000000	-16251.163085938
-140.30000000000	-16431.781250000
-140.20000000000	-16613.978515625
-140.10000000000	-16797.697265625
-140.00000000000	-16982.996093750
-139.90000000000	-17184.027343750
-139.80000000000	-17387.025390625
-139.70000000000	-17592.052734375
-139.60000000000	-17799.046875000
-139.50000000000	-18008.066406250
-139.40000000000	-18219.087890625
-139.30000000000	-18432.074218750
-139.20000000000	-18647.089843750
-139.10000000000	-18864.066406250
-139.00000000000	-19083.080078125
-138.90000000000	-19304.089843750
-138.80000000000	-19527.062500000
-138.70000000000	-19752.066406250
-138.60000000000	-19979.031250000
-138.50000000000	-20208.031250000
-138.40000000000	-20439.029296875
-138.30000000000	-20671.988281250
-138.20000000000	-20906.982421875
-138.10000000000	-21143.937500000
-138.00000000000	-21382.923828125
-137.90000000000	-21624.070312500
-137.80000000000	-21869.111328125
-137.70000000000	-22118.125000000
-137.60000000000	-22371.029296875
-137.50000000000	-22627.902343750
-137.40000000000	-22888.708984375
-137.30000000000	-23153.408203125
-137.20000000000	-23422.076171875
-137.10000000000	-23694.638671875
-137.00000000000	-23971.169921875
-136.90000000000	-24251.632812500
-136.80000000000	-24535.986328125
-136.70000000000	-24824.316406250
-136.60000000000	-25116.531250000
-136.50000000000	-25412.722656250
-136.40000000000	-25712.847656250
-136.30000000000	-26016.855468750
-136.20000000000	-26324.837890625
-136.10000000000	-26636.710937500
-136.00000000000	-26952.560546875
-135.90000000000	-27246.105468750
-135.80000000000	-27544.343750000
-135.70000000000	-27847.367187500
-135.60000000000	-28155.076171875
-135.50000000000	-28467.574218750
-135.40000000000	-28784.806640625
-135.30000000000	-29106.730468750
-135.20000000000	-29433.437500000
-135.10000000000	-29764.835937500
-135.00000000000	-30101.019531250
-134.90000000000	-30441.941406250
-134.80000000000	-30787.550781250
-134.70000000000	-31137.947265625
-134.60000000000	-31493.025390625
-134.50000000000	-31852.902343750
-134.40000000000	-32217.511718750
-134.30000000000	-32586.804687500
-134.20000000000	-32960.890625000
-134.10000000000	-33339.656250000
-134.00000000000	-33723.218750000
-133.90000000000	-34110.402343750
-133.80000000000	-34502.277343750
-133.70000000000	-34898.960937500
-133.60000000000	-35300.339843750
-133.50000000000	-35706.535156250
-133.40000000000	-36117.472656250
-133.30000000000	-36533.097656250
-133.20000000000	-36953.546875000
-133.10000000000	-37378.675781250
-133.00000000000	-37808.625000000
-132.90000000000	-38243.324218750
-132.80000000000	-38682.710937500
-132.70000000000	-39126.910156250
-132.60000000000	-39575.796875000
-132.50000000000	-40029.503906250
-132.40000000000	-40487.960937500
-132.30000000000	-40951.093750000
-132.20000000000	-41419.058593750
-132.10000000000	-41891.699218750
-132.00000000000	-42369.160156250
-131.90000000000	-42854.519531250
-131.80000000000	-43345.597656250
-131.70000000000	-43842.558593750
-131.60000000000	-44345.246093750
-131.50000000000	-44853.812500000
-131.40000000000	-45368.183593750
-131.30000000000	-45888.273437500
-131.20000000000	-46414.253906250
-131.10000000000	-46945.945312500
-131.00000000000	-47483.527343750
-130.90000000000	-48026.910156250
-130.80000000000	-48576.015625000
-130.70000000000	-49131.003906250
-130.60000000000	-49691.710937500
-130.50000000000	-50258.304687500
-130.40000000000	-50830.703125000
-130.30000000000	-51408.812500000
-130.20000000000	-51992.820312500
-130.10000000000	-52582.535156250
-130.00000000000	-53178.144531250
-129.90000000000	-53786.011718750
-129.80000000000	-54402.515625000
-129.70000000000	-55027.851562500
-129.60000000000	-55661.828125000
-129.50000000000	-56304.636718750
-129.40000000000	-56956.179687500
-129.30000000000	-57616.359375000
-129.20000000000	-58285.371093750
-129.10000000000	-58963.023437500
-129.00000000000	-59649.507812500
-128.90000000000	-60344.730468750
-128.80000000000	-61048.585937500
-128.70000000000	-61761.281250000
-128.60000000000	-62482.593750000
-128.50000000000	-63212.765625000
-128.40000000000	-63951.667968750
-128.30000000000	-64699.187500000
-128.20000000000	-65455.566406250
-128.10000000000	-66220.562500000
-128.00000000000	-66994.406250000
-127.90000000000	-67732.515625000
-127.80000000000	-68481.648437500
-127.70000000000	-69241.867187500
-127.60000000000	-70013.078125000
-127.50000000000	-70795.312500000
-127.40000000000	-71588.585937500
-127.30000000000	-72392.882812500
-127.20000000000	-73208.289062500
-127.10000000000	-74034.656250000
-127.00000000000	-74872.054687500
-126.90000000000	-75720.492187500
-126.80000000000	-76579.953125000
-126.70000000000	-77450.515625000
-126.60000000000	-78332.054687500
-126.50000000000	-79224.617187500
-126.40000000000	-80128.218750000
-126.30000000000	-81042.843750000
-126.20000000000	-81968.578125000
-126.10000000000	-82905.273437500
-126.00000000000	-83853.007812500
-125.90000000000	-84818.453125000
-125.80000000000	-85795.062500000
-125.70000000000	-86782.898437500
-125.60000000000	-87781.828125000
-125.50000000000	-88791.914062500
-125.40000000000	-89813.156250000
-125.30000000000	-90845.562500000
-125.20000000000	-91889.203125000
-125.10000000000	-92943.945312500
-125.00000000000	-94009.820312500
-124.90000000000	-95086.867187500
-124.80000000000	-96175.078125000
-124.70000000000	-97274.523437500
-124.60000000000	-98385.046875000
-124.50000000000	-99506.734375000
-124.40000000000	-100639.58593750
-124.30000000000	-101783.57812500
-124.20000000000	-102938.83593750
-124.10000000000	-104105.16406250
-124.00000000000	-105282.64843750
-123.90000000000	-106487.38281250
-123.80000000000	-107706.60937500
