#
#"Z / mm"	"e_Z (Z)"
#------------------
-73.400000000000	291229.28125000
-73.300000000000	294882.50000000
-73.200000000000	298582.90625000
-73.100000000000	302329.87500000
-73.000000000000	306123.53125000
-72.900000000000	309963.21875000
-72.800000000000	313848.84375000
-72.700000000000	317780.53125000
-72.600000000000	321758.03125000
-72.500000000000	325781.25000000
-72.400000000000	329850.50000000
-72.300000000000	333965.68750000
-72.200000000000	338127.06250000
-72.100000000000	342333.96875000
-72.000000000000	346586.87500000
-71.900000000000	350887.18750000
-71.800000000000	355246.43750000
-71.700000000000	359664.90625000
-71.600000000000	364142.00000000
-71.500000000000	368678.00000000
-71.400000000000	373273.00000000
-71.300000000000	377926.87500000
-71.200000000000	382640.03125000
-71.100000000000	387411.87500000
-71.000000000000	392242.43750000
-70.900000000000	397133.37500000
-70.800000000000	402085.21875000
-70.700000000000	407095.31250000
-70.600000000000	412163.03125000
-70.500000000000	417288.56250000
-70.400000000000	422471.96875000
-70.300000000000	427713.28125000
-70.200000000000	433012.75000000
-70.100000000000	438369.81250000
-70.000000000000	443785.21875000
-69.900000000000	449268.90625000
-69.800000000000	454824.50000000
-69.700000000000	460452.28125000
-69.600000000000	466151.53125000
-69.500000000000	471922.53125000
-69.400000000000	477765.37500000
-69.300000000000	483679.75000000
-69.200000000000	489659.90625000
-69.100000000000	495712.59375000
-69.000000000000	501838.25000000
-68.900000000000	508036.93750000
-68.800000000000	514308.62500000
-68.700000000000	520653.78125000
-68.600000000000	527071.62500000
-68.500000000000	533562.31250000
-68.400000000000	540125.93750000
-68.300000000000	546762.75000000
-68.200000000000	553472.93750000
-68.100000000000	560255.75000000
-68.000000000000	567111.56250000
-67.900000000000	574059.31250000
-67.800000000000	581094.62500000
-67.700000000000	588217.50000000
-67.600000000000	595427.00000000
-67.500000000000	602723.62500000
-67.400000000000	610107.25000000
-67.300000000000	617578.18750000
-67.200000000000	625136.62500000
-67.100000000000	632781.68750000
-67.000000000000	640513.93750000
-66.900000000000	648333.12500000
-66.800000000000	656243.50000000
-66.700000000000	664245.56250000
-66.600000000000	672338.56250000
-66.500000000000	680523.00000000
-66.400000000000	688798.75000000
-66.300000000000	697165.87500000
-66.200000000000	705625.12500000
-66.100000000000	714175.06250000
-66.000000000000	722816.43750000
-65.900000000000	731545.87500000
-65.800000000000	740380.87500000
-65.700000000000	749323.87500000
-65.600000000000	758373.62500000
-65.500000000000	767530.75000000
-65.400000000000	776795.31250000
-65.300000000000	786167.06250000
-65.200000000000	795647.18750000
-65.100000000000	805233.62500000
-65.000000000000	814927.75000000
-64.900000000000	824729.06250000
-64.800000000000	834637.75000000
-64.700000000000	844654.62500000
-64.600000000000	854783.12500000
-64.500000000000	865026.00000000
-64.400000000000	875377.43750000
-64.300000000000	885837.43750000
-64.200000000000	896406.81250000
-64.100000000000	907084.12500000
-64.000000000000	917869.81250000
-63.900000000000	928776.81250000
-63.800000000000	939810.81250000
-63.700000000000	950970.75000000
-63.600000000000	962257.37500000
-63.500000000000	973670.06250000
-63.400000000000	985208.87500000
-63.300000000000	996867.62500000
-63.200000000000	1008644.7500000
-63.100000000000	1020549.8750000
-63.000000000000	1032582.4375000
-62.900000000000	1044742.7500000
-62.800000000000	1057031.3750000
-62.700000000000	1069447.2500000
-62.600000000000	1081991.1250000
-62.500000000000	1094662.5000000
-62.400000000000	1107461.6250000
-62.300000000000	1120389.0000000
-62.200000000000	1133443.5000000
-62.100000000000	1146626.5000000
-62.000000000000	1159923.5000000
-61.900000000000	1173398.1250000
-61.800000000000	1187002.8750000
-61.700000000000	1200750.0000000
-61.600000000000	1214640.2500000
-61.500000000000	1228673.0000000
-61.400000000000	1242848.3750000
-61.300000000000	1257167.3750000
-61.200000000000	1271628.2500000
-61.100000000000	1286232.5000000
-61.000000000000	1300976.7500000
-60.900000000000	1315862.8750000
-60.800000000000	1330896.2500000
-60.700000000000	1346076.5000000
-60.600000000000	1361404.2500000
-60.500000000000	1376878.2500000
-60.400000000000	1392499.6250000
-60.300000000000	1408268.5000000
-60.200000000000	1424184.0000000
-60.100000000000	1440247.3750000
-60.000000000000	1456457.3750000
-59.900000000000	1472824.7500000
-59.800000000000	1489348.5000000
-59.700000000000	1506027.5000000
-59.600000000000	1522863.5000000
-59.500000000000	1539854.2500000
-59.400000000000	1557001.7500000
-59.300000000000	1574305.6250000
-59.200000000000	1591765.3750000
-59.100000000000	1609381.5000000
-59.000000000000	1627152.6250000
-58.900000000000	1645076.7500000
-58.800000000000	1663160.3750000
-58.700000000000	1681402.2500000
-58.600000000000	1699804.0000000
-58.500000000000	1718364.0000000
-58.400000000000	1737083.2500000
-58.300000000000	1755961.7500000
-58.200000000000	1774998.6250000
-58.100000000000	1794195.6250000
-58.000000000000	1813550.5000000
-57.900000000000	1833067.5000000
-57.800000000000	1852746.0000000
-57.700000000000	1872583.6250000
-57.600000000000	1892582.5000000
-57.500000000000	1912741.1250000
-57.400000000000	1933060.0000000
-57.300000000000	1953540.0000000
-57.200000000000	1974179.5000000
-57.100000000000	1994980.2500000
-57.000000000000	2015940.3750000
-56.900000000000	2037055.7500000
-56.800000000000	2058328.1250000
-56.700000000000	2079758.8750000
-56.600000000000	2101349.7500000
-56.500000000000	2123099.0000000
-56.400000000000	2145008.5000000
-56.300000000000	2167077.2500000
-56.200000000000	2189305.5000000
-56.100000000000	2211693.2500000
-56.000000000000	2234240.2500000
-55.900000000000	2256957.2500000
-55.800000000000	2279825.7500000
-55.700000000000	2302841.2500000
-55.600000000000	2326004.7500000
-55.500000000000	2349315.5000000
-55.400000000000	2372773.5000000
-55.300000000000	2396380.2500000
-55.200000000000	2420133.5000000
-55.100000000000	2444036.0000000
-55.000000000000	2468085.0000000
-54.900000000000	2492281.2500000
-54.800000000000	2516626.7500000
-54.700000000000	2541118.7500000
-54.600000000000	2565729.7500000
-54.500000000000	2590484.0000000
-54.400000000000	2615384.2500000
-54.300000000000	2640431.0000000
-54.200000000000	2665623.0000000
-54.100000000000	2690962.0000000
-54.000000000000	2716445.2500000
-53.900000000000	2742095.2500000
-53.800000000000	2767866.7500000
-53.700000000000	2793748.5000000
-53.600000000000	2819742.5000000
-53.500000000000	2845847.2500000
-53.400000000000	2872063.0000000
-53.300000000000	2898391.0000000
-53.200000000000	2924829.2500000
-53.100000000000	2951380.0000000
-53.000000000000	2978040.7500000
-52.900000000000	3004813.2500000
-52.800000000000	3031704.0000000
-52.700000000000	3058710.5000000
-52.600000000000	3085834.7500000
-52.500000000000	3113075.5000000
-52.400000000000	3140432.2500000
-52.300000000000	3167906.2500000
-52.200000000000	3195496.2500000
-52.100000000000	3223204.5000000
-52.000000000000	3251019.2500000
-51.900000000000	3278881.2500000
-51.800000000000	3306808.7500000
-51.700000000000	3334799.5000000
-51.600000000000	3362856.2500000
-51.500000000000	3390975.0000000
-51.400000000000	3419159.2500000
-51.300000000000	3447408.0000000
-51.200000000000	3475750.7500000
-51.100000000000	3504159.7500000
-51.000000000000	3532626.7500000
-50.900000000000	3561153.2500000
-50.800000000000	3589738.2500000
-50.700000000000	3618383.0000000
-50.600000000000	3647087.0000000
-50.500000000000	3675849.0000000
-50.400000000000	3704670.0000000
-50.300000000000	3733551.7500000
-50.200000000000	3762490.7500000
-50.100000000000	3791489.5000000
-50.000000000000	3820533.7500000
-49.900000000000	3849557.5000000
-49.800000000000	3878584.7500000
-49.700000000000	3907616.2500000
-49.600000000000	3936653.5000000
-49.500000000000	3965691.7500000
-49.400000000000	3994735.2500000
-49.300000000000	4023782.7500000
-49.200000000000	4052834.2500000
-49.100000000000	4081890.2500000
-49.000000000000	4110954.0000000
-48.900000000000	4140011.2500000
-48.800000000000	4169053.5000000
-48.700000000000	4198079.0000000
-48.600000000000	4227090.0000000
-48.500000000000	4256083.5000000
-48.400000000000	4285062.5000000
-48.300000000000	4314025.5000000
-48.200000000000	4342972.5000000
-48.100000000000	4371904.0000000
-48.000000000000	4400810.0000000
-47.900000000000	4429650.0000000
-47.800000000000	4458426.0000000
-47.700000000000	4487133.5000000
-47.600000000000	4515777.5000000
-47.500000000000	4544352.5000000
-47.400000000000	4572863.0000000
-47.300000000000	4601308.0000000
-47.200000000000	4629687.0000000
-47.100000000000	4658000.5000000
-47.000000000000	4686245.5000000
